"Mês","Ano","Ilha","Habitantes","Consumidores","Fuelóleo","Gasóleo","Hídrica","Geotérmica","Eólica","Fotovoltaica","Resíduos","Outras Renováveis","Total"
"2","2024","Santa Maria","5489","4062","0","1532851","0","0","131144","62407","0","0","1726402"
"2","2024","São Miguel","135745","67391","19425951","7620","1650342","14059018","1571332","48727","0","83588","36846578"
"2","2024","Terceira","53552","28883","10933236","1622","394996","537685","2452541","9711","1271577","0","15601368"
"2","2024","Graciosa","4112","3380","0","275281","0","0","778265","58695","0","0","1112241"
"2","2024","São Jorge","8465","6145","0","2062412","0","0","206653","4459","0","0","2273524"
"2","2024","Pico","14221","10387","3469852","0","0","0","456945","971","0","0","3927768"
"2","2024","Faial","14423","8487","3376638","3485","0","0","476852","5731","0","0","3862706"
"2","2024","Flores","3503","2569","0","359575","536705","0","114","229","0","0","896623"
"2","2024","Corvo","432","292","0","134912","0","0","0","5233","0","0","140145"
"1","2024","Santa Maria","5489","4059","0","1671692","0","0","137679","49845","0","0","1859216"
"1","2024","São Miguel","135745","67372","21938318","6193","2253383","14867106","947175","29254","0","97265","40138694"
"1","2024","Terceira","53552","28860","11661452","2001","358112","563089","3042542","6597","1331615","0","16965408"
"1","2024","Graciosa","4112","3383","0","305330","0","0","862181","46236","0","0","1213747"
"1","2024","São Jorge","8465","6140","0","2461305","0","0","113475","3300","0","0","2578080"
"1","2024","Pico","14221","10373","3928842","1592","0","0","362845","692","0","0","4293971"
"1","2024","Faial","14423","8479","3853723","0","0","0","437577","3629","0","0","4294929"
"1","2024","Flores","3503","2566","0","318789","664251","0","0","146","0","0","983186"
"1","2024","Corvo","432","292","0","148881","0","0","0","4430","0","0","153311"
"12","2023","Santa Maria","5612","4064","0","1659404","0","0","145412","48569","0","0","1853385"
"12","2023","São Miguel","137133","67377","20311939","6373","2231057","15069892","1335443","27619","0","74287","39056610"
"12","2023","Terceira","54874","28876","11220109","2978","448087","899131","2802660","5389","1360537","0","16738891"
"12","2023","Graciosa","4179","3381","0","412398","0","0","742366","43273","0","0","1198037"
"12","2023","São Jorge","8228","6145","0","2362448","0","0","93170","2940","0","0","2458558"
"12","2023","Pico","13635","10387","3899608","352","0","0","318972","520","0","0","4219452"
"12","2023","Faial","14443","8483","3743993","124","0","0","461716","2391","0","0","4208224"
"12","2023","Flores","3627","2570","0","310289","646781","0","9211","136","0","0","966417"
"12","2023","Corvo","470","294","0","142703","0","0","0","4379","0","0","147082"
"11","2023","Santa Maria","5612","4057","0","1572964","0","0","173028","53262","0","0","1799254"
"11","2023","São Miguel","137133","67313","20165019","5039","2061414","13363207","1633452","30772","0","102618","37361521"
"11","2023","Terceira","54874","28862","10224722","6407","300775","613981","3561360","6760","1271450","0","15985455"
"11","2023","Graciosa","4179","3382","0","321601","0","0","770773","39888","0","0","1132262"
"11","2023","São Jorge","8228","6140","0","2222226","0","0","142977","2380","0","0","2367583"
"11","2023","Pico","13635","10370","3618896","268","0","0","386534","648","0","0","4006346"
"11","2023","Faial","14443","8470","3477531","11366","0","0","471812","2315","0","0","3963024"
"11","2023","Flores","3627","2566","0","321710","581630","0","17990","116","0","0","921446"
"11","2023","Corvo","470","292","0","138345","0","0","0","3472","0","0","141817"
"10","2023","Santa Maria","5612","4060","0","1642530","0","0","194615","67578","0","0","1904723"
"10","2023","São Miguel","137133","67242","21591678","4547","1982457","14202798","1783999","39254","0","114511","39719244"
"10","2023","Terceira","54874","28851","10843095","2778","123208","1591148","3468508","10730","479512","0","16518979"
"10","2023","Graciosa","4179","3376","0","294368","0","0","778825","66885","0","0","1140078"
"10","2023","São Jorge","8228","6140","0","2304581","0","0","160265","3965","0","0","2468811"
"10","2023","Pico","13635","10351","3586214","0","0","0","436858","1105","0","0","4024177"
"10","2023","Faial","14443","8456","3504156","0","0","0","481697","5272","0","0","3991125"
"10","2023","Flores","3627","2564","0","369748","541209","0","20297","208","0","0","931462"
"10","2023","Corvo","470","290","0","142484","0","0","0","5701","0","0","148185"
"9","2023","Santa Maria","5612","4059","0","1703550","0","0","109506","99396","0","0","1912452"
"9","2023","São Miguel","137133","67191","24626662","3583","1289349","12580241","1188135","60841","0","114030","39862841"
"9","2023","Terceira","54874","28858","11876932","1682","0","1538859","2344089","15112","863239","0","16639913"
"9","2023","Graciosa","4179","3376","0","566924","0","0","514370","95078","0","0","1176372"
"9","2023","São Jorge","8228","6137","0","2415350","0","0","101833","5938","0","0","2523121"
"9","2023","Pico","13635","10351","3855745","1584","0","0","312712","1357","0","0","4171398"
"9","2023","Faial","14443","8455","3807546","0","0","0","319437","6722","0","0","4133705"
"9","2023","Flores","3627","2562","0","607926","341875","0","6541","257","0","0","956599"
"9","2023","Corvo","470","290","0","138208","0","0","0","7180","0","0","145388"
"8","2023","Santa Maria","5612","4062","0","1959055","0","0","76332","109524","0","0","2144911"
"8","2023","São Miguel","137133","67202","27826337","40","1342720","12577477","589471","65568","0","144541","42546154"
"8","2023","Terceira","54874","28840","13674578","811","0","1324122","1613175","20915","1309852","0","17943453"
"8","2023","Graciosa","4179","3382","0","691146","0","0","502971","119839","0","0","1313956"
"8","2023","São Jorge","8228","6128","0","2589834","0","0","113971","6822","0","0","2710627"
"8","2023","Pico","13635","10356","4432076","5024","0","0","217313","1438","0","0","4655851"
"8","2023","Faial","14443","8447","4239936","0","0","0","317440","8422","0","0","4565798"
"8","2023","Flores","3627","2559","0","840521","183904","0","21207","300","0","0","1045932"
"8","2023","Corvo","470","290","0","143317","0","0","0","10539","0","0","153856"
"7","2023","Santa Maria","5612","4056","0","1811483","0","0","44804","109544","0","0","1965831"
"7","2023","São Miguel","137133","67080","26604531","3886","1423777","11730160","771243","75959","0","107317","40716873"
"7","2023","Terceira","54874","28794","13030593","10569","0","1467623","1239774","26092","1369750","0","17144401"
"7","2023","Graciosa","4179","3374","0","763355","0","0","334007","117025","0","0","1214387"
"7","2023","São Jorge","8228","6128","0","2552772","0","0","82919","7020","0","0","2642711"
"7","2023","Pico","13635","10319","4168926","948","0","0","152946","1297","0","0","4324117"
"7","2023","Faial","14443","8446","4013643","0","0","0","240156","10842","0","0","4264641"
"7","2023","Flores","3627","2559","0","838479","155377","0","19339","75","0","0","1013270"
"7","2023","Corvo","470","288","0","140396","0","0","0","8959","0","0","149355"
"6","2023","Santa Maria","5612","4052","0","1566116","0","0","127636","95201","0","0","1788953"
"6","2023","São Miguel","137133","67601","21884697","7194","1214994","14041825","979110","59274","0","91788","38278882"
"6","2023","Terceira","54874","28753","10098754","1107","46666","1661926","2814451","23151","1318253","0","15964308"
"6","2023","Graciosa","4179","3367","0","454296","0","0","551160","106863","0","0","1112319"
"6","2023","São Jorge","8228","6118","0","2239886","0","0","158070","6593","0","0","2404549"
"6","2023","Pico","13635","10295","3508736","0","0","0","351821","1271","0","0","3861828"
"6","2023","Faial","14443","8440","3384409","9759","0","0","487646","7307","0","0","3889121"
"6","2023","Flores","3627","2562","0","506802","329160","0","71267","0","0","0","907229"
"6","2023","Corvo","470","288","0","129039","0","0","0","8116","0","0","137155"
"5","2023","Santa Maria","5612","4042","0","1600710","0","0","137717","91595","0","0","1830022"
"5","2023","São Miguel","137133","67031","19495248","4460","2541153","14718813","1168426","52074","0","104553","38084727"
"5","2023","Terceira","54874","28652","10003047","7189","16984","1641440","2998966","19608","1342642","0","16029876"
"5","2023","Graciosa","4179","3363","0","432403","0","0","576229","99937","0","0","1108569"
"5","2023","São Jorge","8228","6113","0","2158621","0","0","207717","5750","0","0","2372088"
"5","2023","Pico","13635","10264","3448501","0","0","0","393300","1059","0","0","3842860"
"5","2023","Faial","14443","8434","3533464","610","23601","0","361510","8514","0","0","3927699"
"5","2023","Flores","3627","2562","0","458937","381668","0","77117","0","0","0","917722"
"5","2023","Corvo","470","288","0","127294","0","0","0","9653","0","0","136947"
"4","2023","Santa Maria","5612","4041","0","1444072","0","0","167213","95934","0","0","1707219"
"4","2023","São Miguel","137133","66932","17177125","6995","2397063","14461337","1613385","50926","0","110595","35817426"
"4","2023","Terceira","54874","28629","9211110","34029","150623","1576606","4102052","20307","275951","0","15370678"
"4","2023","Graciosa","4179","3365","0","296425","0","0","653840","97355","0","0","1047620"
"4","2023","São Jorge","8228","6109","0","1958613","0","0","216207","6317","0","0","2181137"
"4","2023","Pico","13635","10248","2949854","3192","0","0","725562","881","0","0","3679489"
"4","2023","Faial","14443","8427","3093474","0","16159","0","577961","7282","0","0","3694876"
"4","2023","Flores","3627","2561","0","314404","483749","0","93176","0","0","0","891329"
"4","2023","Corvo","470","288","0","120694","0","0","0","9378","0","0","130072"
"3","2023","Santa Maria","5612","4039","0","1450296","0","0","266730","83846","0","0","1800872"
"3","2023","São Miguel","137133","66833","18659194","5530","2675029","14923677","1982430","37706","0","127512","38411078"
"3","2023","Terceira","54874","28605","9103191","18081","308194","1682636","4088473","13020","1207811","0","16421406"
"3","2023","Graciosa","4179","3366","0","128369","0","0","945108","70809","0","0","1144286"
"3","2023","São Jorge","8228","6105","0","2044203","0","0","305400","3913","0","0","2353516"
"3","2023","Pico","13635","10231","3284444","1216","0","0","660944","553","0","0","3947157"
